"","Year","Institution","Papers_Published"
"109",2006,"RU",8
"110",2006,"SU",1
"111",2006,"TUT",3
"112",2006,"UAH",1
"113",2006,"UCT",18
"114",2006,"UFS",1
"115",2006,"UH",1
"116",2006,"UJ",2
"117",2006,"UKZN",4
"118",2006,"UL",2
"119",2006,"UNISA",6
"120",2006,"UP",6
"121",2006,"UWC",3
"122",2006,"Wits",21
"123",2006,NA,6
"124",2007,"JH",3
"125",2007,"MRC",1
"126",2007,"NMU",1
"127",2007,"NWU",4
"128",2007,"RU",2
"129",2007,"SU",2
"130",2007,"UCT",12
"131",2007,"UDW",1
"132",2007,"UFS",1
"133",2007,"UKZN",12
"134",2007,"UL",1
"135",2007,"UNISA",12
"136",2007,"UP",6
"137",2007,"UWC",1
"138",2007,"Wits",13
"139",2007,NA,7
"140",2008,"CBMH",1
"141",2008,"CPUT",1
"142",2008,"ELHC",1
"143",2008,"NHLS",1
"144",2008,"NMU",1
"145",2008,"NWU",1
"146",2008,"OBPL",1
"147",2008,"PAOH",1
"148",2008,"PPMC",1
"149",2008,"UCT",20
"150",2008,"UFS",1
"151",2008,"UJ",1
"152",2008,"UKZN",16
"153",2008,"UL",1
"154",2008,"UNISA",8
"155",2008,"UP",10
"156",2008,"UWC",1
"157",2008,"VPH",1
"158",2008,"Wits",5
"159",2008,NA,6
"160",2009,"JZ",1
"161",2009,"NWU",2
"162",2009,"PU",1
"163",2009,"RU",9
"164",2009,"TN",1
"165",2009,"UCT",13
"166",2009,"UKZN",7
"167",2009,"UNISA",15
"168",2009,"UoN",1
"169",2009,"UP",5
"170",2009,"UWC",1
"171",2009,"Wits",17
"172",2009,NA,10
"173",2010,"MEDUNSA",3
"174",2010,"MRC",1
"175",2010,"NICD",1
"176",2010,"NWU",2
"177",2010,"RU",2
"178",2010,"SABRI",1
"179",2010,"UCT",17
"180",2010,"UFS",1
"181",2010,"UKZN",9
"182",2010,"UNISA",1
"183",2010,"UP",7
"184",2010,"Wits",13
"185",2010,NA,7
"186",2011,"CSIR",1
"187",2011,"DM",1
"188",2011,"DUT",1
"189",2011,"MRC",1
"190",2011,"NWU",5
"191",2011,"SAMRC",1
"192",2011,"SU",1
"193",2011,"TSA",1
"194",2011,"UCT",19
"195",2011,"UDW",2
"196",2011,"UKZN",4
"197",2011,"UL",1
"198",2011,"UNISA",13
"199",2011,"UP",6
"200",2011,"UWC",1
"201",2011,"Wits",15
"202",2011,NA,5
"203",2012,"MEDUNSA",1
"204",2012,"MRC",2
"205",2012,"NWU",1
"206",2012,"NZG",1
"207",2012,"RU",3
"208",2012,"SABRI",1
"209",2012,"SCAH",1
"210",2012,"SOC",1
"211",2012,"STDH",1
"212",2012,"SU",3
"213",2012,"UCT",9
"214",2012,"UKZN",1
"215",2012,"UNISA",3
"216",2012,"UP",4
"217",2012,"UWC",2
"218",2012,"Wits",11
"219",2012,NA,6
"220",2013,"MEDUNSA",1
"221",2013,"NWU",3
"222",2013,"OVT",1
"223",2013,"RU",1
"224",2013,"SU",1
"225",2013,"UCT",7
"226",2013,"UKZN",5
"227",2013,"UNISA",5
"228",2013,"UoN",1
"229",2013,"UoS",1
"230",2013,"UP",3
"231",2013,"UTM",1
"232",2013,"UWC",1
"233",2013,"Wits",10
"234",2013,NA,3
"235",2014,"IALCH",1
"236",2014,"RU",2
"237",2014,"SABRI",1
"238",2014,"UCT",6
"239",2014,"UKZN",3
"240",2014,"UNISA",6
"241",2014,"UP",5
"242",2014,"Wits",1
"243",2014,NA,2
"244",2015,"ANPL",1
"245",2015,"NWU",6
"246",2015,"NZG",1
"247",2015,"PFCW",1
"248",2015,"SAMRC",1
"249",2015,"UCT",13
"250",2015,"UKZN",4
"251",2015,"UNISA",1
"252",2015,"UP",5
"253",2015,"UWC",1
"254",2015,"Wits",6
"255",2015,NA,1
"256",2016,"IALCH",1
"257",2016,"KEVH",1
"258",2016,"MEDUNSA",1
"259",2016,"NWU",3
"260",2016,"RMMCH",1
"261",2016,"RU",2
"262",2016,"UCT",5
"263",2016,"UDW",1
"264",2016,"UKZN",1
"265",2016,"UNISA",5
"266",2016,"UP",7
"267",2016,"UPE",1
"268",2016,"UWC",1
"269",2016,"Wits",5
"270",2016,NA,1
"271",2017,"CBMH",1
"272",2017,"CSI",2
"273",2017,"MEDUNSA",1
"274",2017,"MRC",2
"275",2017,"NICD",1
"276",2017,"NMTH",1
"277",2017,"NWU",1
"278",2017,"NZG",1
"279",2017,"PAOH",1
"280",2017,"SU",1
"281",2017,"UCT",57
"282",2017,"UKZN",12
"283",2017,"UL",1
"284",2017,"UNISA",14
"285",2017,"UoT",1
"286",2017,"UP",13
"287",2017,"UPE",1
"288",2017,"UWC",4
"289",2017,"VMC",1
"290",2017,"WH",2
"291",2017,"Wits",18
"292",2017,NA,11
