"","Year","Mean_Citations","Research_Types","Papers_Published"
"173",2002,16,"Basic",2
"174",2002,18,"Basic",1
"175",2002,21,"Basic",1
"176",2002,26,"Clinical",3
"177",2002,30,"Clinical",1
"178",2002,31,"Clinical",1
"179",2002,33,"Clinical",1
"180",2002,34,"Basic",1
"181",2002,36,"Clinical",1
"182",2002,39,"Clinical",1
"183",2002,45,"Basic",1
"184",2002,54,"Basic",1
"185",2002,60,"Clinical",1
"186",2002,70,"Basic",1
"187",2002,72,"Clinical",1
"188",2002,73,"Clinical",1
"189",2002,84,"Basic",1
"190",2002,85,"Clinical",1
"191",2002,90,"Clinical",1
"192",2002,92,"Basic",1
"193",2003,0,"Clinical",1
"194",2003,1,"Clinical",2
"195",2003,2,"Clinical",1
"196",2003,3,"Clinical",1
"197",2003,4,"Basic",2
"198",2003,4,"Clinical",1
"199",2003,5,"Clinical",1
"200",2003,9,"Basic",2
"201",2003,10,"Basic",1
"202",2003,12,"Basic",1
"203",2003,15,"Basic",1
"204",2003,15,"Clinical",1
"205",2003,19,"Clinical",1
"206",2003,20,"Basic",1
"207",2003,21,"Basic",2
"208",2003,21,"Clinical",1
"209",2003,22,"Basic",1
"210",2003,25,"Basic",1
"211",2003,26,"Basic",1
"212",2003,27,"Basic",2
"213",2003,29,"Basic",1
"214",2003,31,"Clinical",1
"215",2003,45,"Basic",1
"216",2003,47,"Clinical",1
"217",2003,63,"Clinical",1
"218",2003,64,"Basic",1
"219",2003,74,"Clinical",1
"220",2003,102,"Basic",1
"221",2003,103,"Basic",1
"222",2003,223,"Clinical",1
"223",2004,0,"Clinical",1
"224",2004,1,"Basic",2
"225",2004,1,"Clinical",1
"226",2004,3,"Basic",1
"227",2004,5,"Basic",1
"228",2004,5,"Clinical",2
"229",2004,6,"Basic",1
"230",2004,7,"Basic",3
"231",2004,7,"Clinical",2
"232",2004,8,"Basic",1
"233",2004,8,"Clinical",1
"234",2004,9,"Basic",1
"235",2004,9,"Clinical",1
"236",2004,11,"Basic",2
"237",2004,11,"Clinical",2
"238",2004,13,"Basic",1
"239",2004,13,"Clinical",1
"240",2004,14,"Clinical",1
"241",2004,16,"Basic",1
"242",2004,16,"Clinical",1
"243",2004,17,"Clinical",2
"244",2004,18,"Basic",1
"245",2004,20,"Basic",1
"246",2004,21,"Basic",1
"247",2004,22,"Basic",1
"248",2004,22,"Clinical",1
"249",2004,23,"Basic",1
"250",2004,24,"Clinical",1
"251",2004,25,"Basic",1
"252",2004,29,"Basic",1
"253",2004,30,"Clinical",1
"254",2004,32,"Basic",1
"255",2004,32,"Clinical",1
"256",2004,35,"Basic",2
"257",2004,37,"Basic",1
"258",2004,38,"Basic",1
"259",2004,38,"Clinical",1
"260",2004,39,"Clinical",2
"261",2004,42,"Basic",1
"262",2004,56,"Clinical",1
"263",2004,66,"Basic",1
"264",2004,66,"Clinical",1
"265",2004,69,"Basic",1
"266",2004,80,"Basic",1
"267",2004,90,"Clinical",1
"268",2004,115,"Basic",1
"269",2004,123,"Clinical",1
"270",2004,157,"Clinical",1
"271",2004,292,"Basic",1
"272",2005,1,"Clinical",1
"273",2005,2,"Clinical",1
"274",2005,3,"Clinical",1
"275",2005,6,"Clinical",2
"276",2005,10,"Clinical",1
"277",2005,11,"Basic",1
"278",2005,11,"Clinical",1
"279",2005,12,"Clinical",2
"280",2005,13,"Basic",1
"281",2005,14,"Basic",1
"282",2005,16,"Basic",1
"283",2005,17,"Basic",1
"284",2005,21,"Basic",1
"285",2005,21,"Clinical",1
"286",2005,22,"Clinical",1
"287",2005,23,"Clinical",1
"288",2005,25,"Basic",1
"289",2005,26,"Basic",1
"290",2005,30,"Basic",1
"291",2005,31,"Basic",1
"292",2005,31,"Clinical",1
"293",2005,32,"Clinical",1
"294",2005,34,"Basic",1
"295",2005,34,"Clinical",1
"296",2005,38,"Basic",1
"297",2005,38,"Clinical",1
"298",2005,40,"Clinical",1
"299",2005,41,"Basic",1
"300",2005,41,"Clinical",1
"301",2005,47,"Clinical",1
"302",2005,50,"Basic",2
"303",2005,50,"Clinical",1
"304",2005,52,"Basic",1
"305",2005,52,"Clinical",1
"306",2005,65,"Basic",1
"307",2005,71,"Clinical",1
"308",2005,80,"Clinical",1
"309",2005,87,"Basic",1
"310",2005,107,"Clinical",2
"311",2005,114,"Basic",1
"312",2005,120,"Basic",1
"313",2005,131,"Basic",1
"314",2005,244,"Clinical",1
"315",2006,0,"Basic",1
"316",2006,0,"Clinical",3
"317",2006,1,"Clinical",2
"318",2006,2,"Basic",1
"319",2006,3,"Basic",2
"320",2006,3,"Clinical",2
"321",2006,4,"Basic",2
"322",2006,4,"Clinical",2
"323",2006,5,"Basic",1
"324",2006,5,"Clinical",2
"325",2006,6,"Basic",1
"326",2006,6,"Clinical",3
"327",2006,7,"Basic",2
"328",2006,8,"Basic",2
"329",2006,8,"Clinical",2
"330",2006,9,"Basic",2
"331",2006,9,"Clinical",2
"332",2006,10,"Basic",1
"333",2006,10,"Clinical",3
"334",2006,11,"Clinical",1
"335",2006,12,"Basic",1
"336",2006,12,"Clinical",1
"337",2006,13,"Basic",1
"338",2006,13,"Clinical",1
"339",2006,14,"Clinical",2
"340",2006,15,"Basic",1
"341",2006,16,"Basic",3
"342",2006,17,"Basic",1
"343",2006,18,"Basic",1
"344",2006,19,"Basic",1
"345",2006,19,"Clinical",1
"346",2006,21,"Basic",2
"347",2006,23,"Basic",1
"348",2006,24,"Basic",2
"349",2006,24,"Clinical",1
"350",2006,25,"Basic",1
"351",2006,26,"Clinical",1
"352",2006,27,"Basic",1
"353",2006,28,"Basic",2
"354",2006,28,"Clinical",1
"355",2006,30,"Clinical",1
"356",2006,31,"Clinical",1
"357",2006,35,"Clinical",1
"358",2006,40,"Basic",1
"359",2006,40,"Clinical",1
"360",2006,41,"Basic",1
"361",2006,42,"Basic",1
"362",2006,47,"Basic",1
"363",2006,47,"Clinical",1
"364",2006,54,"Basic",1
"365",2006,54,"Clinical",1
"366",2006,55,"Clinical",2
"367",2006,56,"Basic",1
"368",2006,57,"Clinical",1
"369",2006,60,"Basic",1
"370",2006,68,"Basic",2
"371",2006,74,"Clinical",1
"372",2006,83,"Basic",1
"373",2006,85,"Clinical",1
"374",2006,90,"Clinical",2
"375",2006,105,"Clinical",1
"376",2006,115,"Clinical",1
"377",2006,182,"Clinical",1
"378",2006,191,"Basic",1
"379",2007,0,"Basic",1
"380",2007,0,"Clinical",1
"381",2007,1,"Basic",2
"382",2007,1,"Clinical",2
"383",2007,2,"Basic",1
"384",2007,2,"Clinical",1
"385",2007,4,"Basic",2
"386",2007,4,"Clinical",1
"387",2007,5,"Clinical",1
"388",2007,6,"Basic",2
"389",2007,6,"Clinical",1
"390",2007,7,"Basic",2
"391",2007,7,"Clinical",3
"392",2007,8,"Basic",3
"393",2007,8,"Clinical",1
"394",2007,10,"Clinical",2
"395",2007,11,"Basic",1
"396",2007,12,"Basic",2
"397",2007,12,"Clinical",1
"398",2007,14,"Clinical",1
"399",2007,15,"Clinical",2
"400",2007,16,"Basic",2
"401",2007,16,"Clinical",3
"402",2007,17,"Basic",1
"403",2007,18,"Clinical",3
"404",2007,19,"Basic",1
"405",2007,20,"Basic",2
"406",2007,21,"Basic",1
"407",2007,22,"Clinical",1
"408",2007,23,"Clinical",1
"409",2007,26,"Clinical",1
"410",2007,27,"Basic",2
"411",2007,28,"Clinical",2
"412",2007,29,"Clinical",1
"413",2007,32,"Clinical",1
"414",2007,35,"Basic",1
"415",2007,35,"Clinical",1
"416",2007,36,"Basic",1
"417",2007,39,"Basic",1
"418",2007,39,"Clinical",1
"419",2007,42,"Clinical",1
"420",2007,43,"Basic",1
"421",2007,48,"Basic",1
"422",2007,51,"Basic",1
"423",2007,54,"Clinical",1
"424",2007,72,"Basic",1
"425",2007,75,"Clinical",1
"426",2007,77,"Clinical",1
"427",2007,82,"Clinical",1
"428",2007,89,"Clinical",1
"429",2007,98,"Basic",1
"430",2007,98,"Clinical",1
"431",2007,104,"Basic",1
"432",2007,104,"Clinical",1
"433",2007,106,"Clinical",1
"434",2007,171,"Basic",1
"435",2007,179,"Basic",1
"436",2007,195,"Clinical",1
"437",2007,305,"Basic",1
"438",2008,0,"Basic",1
"439",2008,0,"Clinical",4
"440",2008,1,"Clinical",1
"441",2008,2,"Clinical",1
"442",2008,3,"Clinical",1
"443",2008,4,"Basic",1
"444",2008,4,"Clinical",5
"445",2008,6,"Clinical",2
"446",2008,7,"Basic",2
"447",2008,7,"Clinical",1
"448",2008,8,"Clinical",3
"449",2008,9,"Clinical",1
"450",2008,10,"Basic",1
"451",2008,11,"Basic",2
"452",2008,11,"Clinical",2
"453",2008,12,"Basic",1
"454",2008,12,"Clinical",2
"455",2008,13,"Basic",2
"456",2008,13,"Clinical",2
"457",2008,14,"Basic",1
"458",2008,14,"Clinical",1
"459",2008,15,"Clinical",2
"460",2008,16,"Basic",1
"461",2008,16,"Clinical",1
"462",2008,17,"Basic",1
"463",2008,17,"Clinical",3
"464",2008,18,"Basic",1
"465",2008,18,"Clinical",1
"466",2008,20,"Basic",1
"467",2008,22,"Basic",2
"468",2008,22,"Clinical",1
"469",2008,23,"Clinical",2
"470",2008,26,"Basic",1
"471",2008,26,"Clinical",1
"472",2008,27,"Clinical",1
"473",2008,28,"Clinical",1
"474",2008,29,"Basic",1
"475",2008,31,"Basic",1
"476",2008,38,"Clinical",2
"477",2008,41,"Basic",1
"478",2008,41,"Clinical",1
"479",2008,42,"Clinical",1
"480",2008,43,"Basic",1
"481",2008,43,"Clinical",1
"482",2008,48,"Basic",1
"483",2008,48,"Clinical",1
"484",2008,50,"Clinical",1
"485",2008,51,"Clinical",1
"486",2008,52,"Basic",1
"487",2008,53,"Basic",1
"488",2008,54,"Basic",1
"489",2008,60,"Clinical",1
"490",2008,72,"Clinical",1
"491",2008,73,"Clinical",1
"492",2008,115,"Basic",1
"493",2008,118,"Clinical",1
"494",2008,155,"Basic",1
"495",2009,0,"Clinical",1
"496",2009,1,"Basic",1
"497",2009,1,"Clinical",2
"498",2009,2,"Clinical",3
"499",2009,3,"Basic",2
"500",2009,3,"Clinical",1
"501",2009,4,"Basic",1
"502",2009,5,"Basic",2
"503",2009,6,"Basic",1
"504",2009,7,"Basic",3
"505",2009,7,"Clinical",2
"506",2009,8,"Basic",2
"507",2009,9,"Basic",1
"508",2009,9,"Clinical",1
"509",2009,11,"Basic",1
"510",2009,11,"Clinical",3
"511",2009,12,"Basic",1
"512",2009,12,"Clinical",1
"513",2009,13,"Clinical",1
"514",2009,14,"Basic",1
"515",2009,14,"Clinical",1
"516",2009,15,"Clinical",2
"517",2009,16,"Basic",2
"518",2009,16,"Clinical",1
"519",2009,17,"Basic",2
"520",2009,18,"Basic",1
"521",2009,22,"Basic",1
"522",2009,22,"Clinical",1
"523",2009,24,"Clinical",1
"524",2009,25,"Basic",2
"525",2009,25,"Clinical",1
"526",2009,26,"Basic",2
"527",2009,26,"Clinical",1
"528",2009,27,"Clinical",1
"529",2009,29,"Basic",1
"530",2009,29,"Clinical",3
"531",2009,30,"Basic",1
"532",2009,31,"Basic",1
"533",2009,32,"Basic",2
"534",2009,32,"Clinical",1
"535",2009,36,"Clinical",1
"536",2009,38,"Basic",1
"537",2009,38,"Clinical",1
"538",2009,42,"Clinical",1
"539",2009,44,"Clinical",1
"540",2009,46,"Basic",1
"541",2009,48,"Basic",1
"542",2009,50,"Clinical",1
"543",2009,51,"Basic",2
"544",2009,51,"Clinical",1
"545",2009,53,"Clinical",1
"546",2009,63,"Clinical",1
"547",2009,68,"Basic",1
"548",2009,69,"Basic",1
"549",2009,72,"Basic",1
"550",2009,87,"Basic",1
"551",2009,92,"Clinical",1
"552",2009,99,"Clinical",1
"553",2009,102,"Basic",1
"554",2009,102,"Clinical",1
"555",2009,115,"Clinical",1
"556",2009,148,"Basic",1
